FID,IID,SOL,C1,C2,C3,C4
CEU,118,0,0.0362738,-0.0815727,-0.0162841,-0.00653128
CEU,120,0,0.0385031,-0.0813093,-0.0178958,-0.00584817
CEU,121,0,0.0367172,-0.0785473,-0.0159113,-0.00581741
CEU,122,0,0.0390212,-0.0800789,-0.0188966,-0.00449405
CEU,123,0,0.0373231,-0.0807634,-0.0152566,-0.00308596
CEU,125,0,0.0382331,-0.0800262,-0.0170205,-0.00529166
CEU,126,0,0.0365605,-0.0798315,-0.0164779,-0.00394252
CEU,128,0,0.0390016,-0.076814,-0.0168549,-0.00333194
CEU,130,0,0.0382332,-0.0803126,-0.0177028,-0.00637929
CEU,133,0,0.038485,-0.0780467,-0.014488,-0.00612854
CEU,134,0,0.036483,-0.0803261,-0.0185537,-0.00740232
CEU,135,0,0.0360321,-0.0828329,-0.0180498,-0.00633076
CEU,136,0,0.0376433,-0.0812286,-0.0181631,-0.00764524
CEU,138,0,0.0368435,-0.0816647,-0.0164691,-0.0052873
CEU,140,0,0.0376909,-0.081075,-0.0170232,-0.00937481
CEU,141,0,0.0375037,-0.0795275,-0.0153977,-0.00546704
CEU,142,0,0.0371144,-0.0799543,-0.0128649,-0.0056859
CEU,144,0,0.0363258,-0.0804298,-0.0151204,-0.00435998
CEU,145,0,0.0391744,-0.0788667,-0.0158809,-0.00944141
CEU,148,0,0.0386663,-0.0787733,-0.0164718,-0.00623692
CEU,149,0,0.0374674,-0.0809761,-0.0151327,-0.00778819
CEU,150,0,0.0362025,-0.0811697,-0.0165727,-0.00633133
CEU,151,0,0.038273,-0.079622,-0.0158152,-0.00638309
CEU,153,0,0.040119,-0.0785815,-0.014203,-0.00792902
CEU,154,0,0.0376379,-0.0804132,-0.0148492,-0.00725032
CEU,155,0,0.0370533,-0.0804484,-0.0177801,-0.00614249
CEU,156,0,0.0380753,-0.0789264,-0.0150543,-0.0036532
CEU,157,0,0.0384327,-0.078563,-0.0163219,-0.00661835
CEU,158,0,0.0392014,-0.0801971,-0.0153881,-0.00745698
CEU,159,0,0.0369412,-0.0803753,-0.0135727,-0.00536598
CEU,162,0,0.0390989,-0.0808244,-0.0141,-0.00660269
CEU,163,0,0.0370895,-0.0800597,-0.0134796,-0.00643665
CHB,1,0,0.0706492,0.062329,-0.00612636,-1.04154e-05
CHB,2,0,0.0702077,0.0623275,-0.00508509,0.000843271
CHB,3,0,0.0705977,0.064957,-0.00613875,0.00212456
CHB,4,0,0.069763,0.0641202,-0.00389116,0.000167488
CHB,5,0,0.0720294,0.0641812,-0.0065811,0.00282851
CHB,6,0,0.0706126,0.0652344,-0.00578075,0.00241129
CHB,7,0,0.0700893,0.0633717,-0.0061551,0.000745868
CHB,8,0,0.072627,0.0670351,-0.00689707,0.00180442
CHB,9,0,0.0711082,0.0634617,-0.00606286,-0.000857469
CHB,10,0,0.0707939,0.0625378,-0.00668424,0.00123566
CHB,11,0,0.0708474,0.0619664,-0.00706543,0.00263081
CHB,12,0,0.0712487,0.0630012,-0.0059619,0.0010159
CHB,13,0,0.0719093,0.0661178,-0.00515379,0.000745165
CHB,14,0,0.0711728,0.0642524,-0.0064537,0.00306959
CHB,15,0,0.0728943,0.0642629,-0.00247071,0.00227116
CHB,16,0,0.0718871,0.0643555,-0.0071038,0.00177985
CHB,17,0,0.0707392,0.0630048,-0.00680851,-0.000191345
CHB,18,0,0.0698094,0.0638066,-0.00351424,0.00307205
CHB,19,0,0.0700833,0.0648821,-0.00116534,0.00112776
CHB,20,0,0.0726562,0.0629943,-0.00636478,0.00280799
CHB,21,0,0.0717745,0.0664257,-0.00512706,0.000492018
CHB,22,0,0.071071,0.0659767,-0.00491985,0.00122903
CHB,23,0,0.0676385,0.059582,-0.00592301,0.000884356
CHB,24,0,0.0701793,0.060309,-0.00610165,4.7073e-05
CHB,25,0,0.0719147,0.0646199,-0.00406635,0.00454126
CHB,26,0,0.0718488,0.0619161,-0.00649527,0.00200771
CHB,27,0,0.0708651,0.0650027,-0.00448238,0.00182598
CHB,28,0,0.0719871,0.0631257,-0.00908661,-0.000235082
CHB,29,0,0.0701172,0.0605855,-0.00453143,0.00174736
CHB,30,0,0.0708961,0.0636964,-0.0052713,0.00192462
CHB,31,0,0.0704571,0.0656202,-0.00744952,0.00025777
CHB,32,0,0.0703492,0.0656974,-0.00470505,0.00156308
CHB,33,0,0.0709938,0.0641631,-0.00338089,0.000527473
CHB,34,0,0.0708414,0.0635936,-0.00811293,0.000590114
CHB,35,0,0.0704425,0.0653067,-0.00539391,0.0015632
CHB,36,0,0.0699246,0.0647721,-0.00713262,2.63664e-05
CHB,37,0,0.070722,0.0672226,-0.00471,0.00034523
CHB,38,0,0.0705023,0.0650008,-0.00759133,0.00215799
CHB,39,0,0.0717258,0.0634141,-0.00855563,0.00122344
CHB,40,0,0.0700039,0.0619647,-0.00662832,0.000862725
CHB,41,0,0.0687596,0.0657534,-0.00600357,0.00180568
CHB,42,0,0.0711639,0.0612491,-0.00599929,7.46609e-05
CHB,43,0,0.0717191,0.0629843,-0.00735541,0.0010851
CHB,44,0,0.071196,0.0622718,-0.00700528,0.00325472
CHB,45,0,0.0700505,0.0680466,-0.0068566,0.00140229
CHB,46,0,0.0722603,0.0640491,-0.00643589,0.000405203
CHB,47,0,0.0706072,0.0657687,-0.00660561,0.00158902
CHB,48,0,0.0721047,0.0653555,-0.00647325,0.00351099
CHB,49,0,0.0707469,0.0626415,-0.00665554,0.00212778
CHB,50,0,0.0702677,0.0629015,-0.00664766,-0.000696267
CHB,51,0,0.0711433,0.0666393,-0.00503907,0.00221339
CHB,52,0,0.0707807,0.060565,-0.00484804,0.00114103
CHB,53,0,0.0721115,0.0646717,-0.00585444,0.000557704
CHB,54,0,0.0702029,0.0632811,-0.00381328,0.00119034
CHB,55,0,0.0699605,0.0641052,-0.00680019,-0.000584784
CHB,56,0,0.0718965,0.0637975,-0.00581822,0.00019197
CHB,57,0,0.0706646,0.063432,-0.00625006,0.00108316
CHB,58,0,0.0711593,0.0648954,-0.00787299,0.00101737
CHB,59,0,0.0700065,0.0647876,-0.00590148,0.00146825
CHB,60,0,0.0712145,0.0644795,-0.00881988,0.00226686
CHB,61,0,0.0708234,0.063009,-0.00448057,0.00176633
CHB,62,0,0.0693261,0.0641588,-0.00253216,0.00230088
CHB,63,0,0.0714963,0.0647214,-0.00695042,0.000456683
CHB,64,0,0.0699594,0.0644398,-0.00574019,0.000903541
CHB,65,0,0.070704,0.066911,-0.00768791,0.000537387
CHB,66,0,0.0679208,0.0647081,-0.00479578,0.00291844
CHB,67,0,0.0696619,0.0634625,-0.0035676,0.00212756
CHB,68,0,0.0718566,0.0664886,-0.00286971,-0.000539769
CHB,69,0,0.0708508,0.064884,-0.00492088,0.00280093
CHB,70,0,0.0684135,0.0621805,-0.00368356,0.00168388
CHB,71,0,0.071092,0.0657566,-0.0055534,0.000965016
CHB,72,0,0.0694357,0.0627935,-0.00491108,0.000940008
CHB,73,0,0.0707089,0.0647194,-0.00617199,0.00253681
CHB,74,0,0.0710964,0.0617646,-0.00439611,0.00127555
CHB,75,0,0.0717213,0.0610068,-0.00532252,-0.000858407
CHB,76,0,0.0698617,0.0631898,-0.00592463,0.00108196
CHB,77,0,0.0698295,0.0631933,-0.00752667,0.00213357
CHB,78,0,0.0718117,0.0634614,-0.00295401,0.000666395
CHB,79,0,0.0716198,0.0625605,-0.00430342,0.000473168
CHB,80,0,0.071648,0.0620663,-0.00560202,0.000751869
CHB,81,0,0.0716879,0.0639159,-0.00644045,0.0015985
CHB,82,0,0.0708974,0.0670191,-0.00838351,0.00111169
CHB,83,0,0.0696425,0.065491,-0.00352534,0.00288159
CHB,84,0,0.070498,0.0654351,-0.00645416,0.000794442
YRI,1,0,-0.0943484,0.0223252,0.00160603,-0.0277792
YRI,2,0,-0.0938768,0.0215369,-0.00139877,-0.0258129
YRI,3,0,-0.0944269,0.0220834,0.000124111,-0.0253981
YRI,4,0,-0.0949814,0.0241842,0.0016645,-0.0270364
YRI,7,0,-0.0958626,0.0234131,0.00114062,-0.0268553
YRI,9,0,-0.0939109,0.0238622,0.00263728,-0.0254086
YRI,10,0,-0.0938476,0.0229605,0.00149974,-0.026064
YRI,12,0,-0.0950912,0.0221869,0.000597595,-0.0286069
YRI,14,0,-0.0940823,0.0210577,0.00253602,-0.0260788
YRI,16,0,-0.0936982,0.0241614,0.00347531,-0.0269012
YRI,18,0,-0.0941818,0.0230667,0.00109977,-0.0270978
YRI,21,0,-0.0931022,0.0243108,0.000677111,-0.0273247
YRI,22,0,-0.094022,0.0215215,0.00116018,-0.0260234
YRI,24,0,-0.093181,0.0233903,0.00118452,-0.0275621
YRI,25,0,-0.093698,0.0227278,0.00320592,-0.0278068
YRI,26,0,-0.0940965,0.0225463,-8.3878e-05,-0.0285508
YRI,27,0,-0.093731,0.0234789,0.0026711,-0.0256271
YRI,28,0,-0.0939575,0.023862,0.0011162,-0.0260348
YRI,29,0,-0.0936528,0.0229664,0.00339876,-0.0267896
YRI,30,0,-0.092458,0.022718,0.00140717,-0.0256613
YRI,32,0,-0.0929202,0.0243348,0.000164854,-0.0258
YRI,33,0,-0.0942761,0.0233145,0.000525359,-0.0264216
YRI,34,0,-0.0933714,0.022645,0.0012833,-0.0248246
YRI,35,0,-0.0941266,0.0234213,0.00137954,-0.027061
YRI,36,0,-0.0940381,0.0234302,0.0018154,-0.0261621
YRI,39,0,-0.0948231,0.0216954,0.00256854,-0.0260361
YRI,40,0,-0.0933699,0.0224053,0.000573005,-0.0255808
YRI,42,0,-0.0922977,0.0223831,0.000883209,-0.0290422
YRI,46,0,-0.0933052,0.021922,0.00182599,-0.0285485
YRI,47,0,-0.0935201,0.0222768,0.00187467,-0.0261255
YRI,49,0,-0.0952827,0.0219556,0.000332641,-0.0279793
YRI,50,0,-0.0918709,0.0228654,-0.000415439,-0.0264256
YRI,51,0,-0.0945613,0.0230374,0.00236427,-0.025625
YRI,52,0,-0.0920956,0.0228345,0.001312,-0.0267143
YRI,53,0,-0.0928318,0.0251155,0.000971382,-0.0247049
YRI,54,0,-0.0936839,0.0229772,0.000299614,-0.0255301
